,Latitude,Longitude,Tenure Months,Monthly Charges,Total Charges,Churn Value,Churn Score,CLTV,Churn Reason,Region Cluster,Avg Monthly Spend,Total Services Subscribed,Recurring Payment,Auto-Pay,Upsell Potential,Gender_Male,Senior Citizen_Yes,Partner_Yes,Dependents_Yes,Phone Service_Yes,Multiple Lines_No phone service,Multiple Lines_Yes,Online Security_No internet service,Online Security_Yes,Online Backup_No internet service,Online Backup_Yes,Device Protection_No internet service,Device Protection_Yes,Tech Support_No internet service,Tech Support_Yes,Streaming TV_No internet service,Streaming TV_Yes,Streaming Movies_No internet service,Streaming Movies_Yes,Paperless Billing_Yes,Churn_Probability
0,33.964131,-118.272783,2,53.85,108.15,1,86,3239,Competitor made better offer,1,54.075,3,0,0,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.8364154469060168
1,34.059281,-118.30742,2,70.7,151.65,1,67,2701,Moved,1,75.825,1,0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.8193052712435347
2,34.048013,-118.293953,8,99.65,820.5,1,86,5372,Moved,1,102.5625,5,0,0,1,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.800720552594655
3,34.062125,-118.315709,28,104.8,3046.05,1,84,5003,Moved,1,108.78750000000001,6,0,0,1,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.5569389350445345
4,34.039224,-118.266293,49,103.7,5036.3,1,89,5340,Competitor had better devices,1,102.78163265306122,6,1,1,1,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.6070242766555709
5,34.066367,-118.309868,10,55.2,528.35,1,78,5925,Competitor offered higher download speeds,1,52.835,3,1,0,1,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5444400755219544
6,34.02381,-118.156582,1,39.65,39.65,1,100,5433,Competitor offered more data,1,39.65,2,0,0,1,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.9485537403897125
7,34.066303,-118.435479,1,20.15,20.15,1,92,4832,Competitor made better offer,1,20.15,1,0,0,1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.8423144513269597
8,34.099869,-118.326843,47,99.35,4749.15,1,77,5789,Competitor had better devices,1,101.04574468085106,5,0,0,1,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.3430819616229728
9,34.089953,-118.294824,1,30.2,30.2,1,97,2915,Competitor had better devices,1,30.2,1,0,0,0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8586447236360323
