Title,Rating,Ownership_Type,Industry,Sector,Revenue,Min_Salary,Max_Salary,Min_Size,Max_Size
155,2,2,30,12,2,137,171,1001.0,5000.0
49,0,0,42,4,0,137,171,5001.0,10000.0
49,2,3,11,4,1,137,171,1001.0,5000.0
49,2,0,15,13,1,137,171,501.0,1000.0
49,1,0,1,4,2,137,171,51.0,200.0
49,0,0,9,11,2,137,171,51.0,200.0
62,2,0,5,3,0,137,171,51.0,200.0
49,2,0,12,18,0,137,171,1001.0,5000.0
164,0,0,9,11,0,137,171,5001.0,10000.0
49,2,0,17,11,2,137,171,51.0,200.0
49,0,0,17,11,1,137,171,501.0,1000.0
49,0,0,27,11,2,137,171,51.0,200.0
57,2,1,16,16,0,137,171,1001.0,5000.0
41,2,0,7,13,0,137,171,201.0,500.0
49,2,0,11,4,1,137,171,1001.0,5000.0
85,0,0,20,9,2,137,171,1.0,50.0
52,0,0,31,11,2,137,171,51.0,200.0
49,2,0,7,13,0,137,171,1001.0,5000.0
30,0,0,17,11,0,137,171,5001.0,10000.0
109,2,2,24,10,2,137,171,5001.0,10000.0
49,2,0,9,11,2,137,171,51.0,200.0
72,0,0,31,11,1,137,171,51.0,200.0
90,2,0,11,4,1,137,171,1001.0,5000.0
15,2,0,30,12,0,137,171,5001.0,10000.0
49,2,0,1,4,1,137,171,51.0,200.0
49,0,0,9,11,1,137,171,51.0,200.0
56,0,0,32,8,1,137,171,51.0,200.0
70,2,2,2,1,2,137,171,1001.0,5000.0
49,0,0,20,9,1,137,171,51.0,200.0
49,1,0,17,11,2,137,171,51.0,200.0
49,2,3,11,4,1,75,131,1001.0,5000.0
62,2,0,5,3,0,75,131,1001.0,5000.0
49,0,0,27,11,2,75,131,1.0,50.0
147,0,0,30,12,0,75,131,1001.0,5000.0
34,2,0,17,11,1,75,131,201.0,500.0
10,2,0,53,16,0,75,131,1001.0,5000.0
14,1,0,17,11,1,75,131,1001.0,5000.0
49,1,0,24,10,2,75,131,501.0,1000.0
49,1,0,17,11,1,75,131,1.0,50.0
133,2,0,31,11,1,75,131,501.0,1000.0
27,2,0,32,8,1,75,131,501.0,1000.0
101,2,0,30,12,0,75,131,501.0,1000.0
29,1,0,5,3,1,75,131,1001.0,5000.0
130,0,0,5,3,2,75,131,51.0,200.0
49,0,0,17,11,1,75,131,51.0,200.0
23,0,0,5,3,0,75,131,51.0,200.0
140,0,0,9,11,2,75,131,201.0,500.0
49,2,0,32,8,2,75,131,501.0,1000.0
49,2,1,20,9,2,75,131,1001.0,5000.0
49,0,0,17,11,2,75,131,201.0,500.0
27,0,0,1,4,1,75,131,1.0,50.0
49,2,0,5,3,0,75,131,1.0,50.0
49,2,0,17,11,2,75,131,501.0,1000.0
97,0,0,27,11,1,75,131,51.0,200.0
79,2,0,17,11,2,75,131,51.0,200.0
32,2,2,24,10,1,75,131,5001.0,10000.0
140,2,0,5,3,1,75,131,201.0,500.0
118,0,0,31,11,0,75,131,1001.0,5000.0
49,2,0,18,20,2,75,131,1001.0,5000.0
54,0,0,45,4,1,75,131,201.0,500.0
27,2,0,29,12,0,75,131,201.0,500.0
101,0,0,2,1,1,75,131,201.0,500.0
49,2,0,12,18,0,79,131,1001.0,5000.0
49,0,0,9,11,2,79,131,51.0,200.0
87,2,3,13,13,1,79,131,201.0,500.0
34,2,0,32,8,1,79,131,1001.0,5000.0
49,2,0,31,11,2,79,131,501.0,1000.0
49,2,0,17,11,1,79,131,1001.0,5000.0
26,2,0,5,3,2,79,131,501.0,1000.0
55,1,0,5,3,2,79,131,1.0,50.0
36,0,0,1,4,1,79,131,51.0,200.0
67,2,0,5,3,2,79,131,501.0,1000.0
114,2,0,9,11,0,79,131,5001.0,10000.0
13,2,0,28,13,0,79,131,5001.0,10000.0
120,0,0,5,3,2,79,131,201.0,500.0
27,2,3,29,12,1,79,131,1001.0,5000.0
39,2,2,30,12,2,79,131,1001.0,5000.0
49,2,0,31,11,2,79,131,1001.0,5000.0
49,1,0,30,12,2,79,131,201.0,500.0
63,2,0,5,3,1,79,131,201.0,500.0
123,2,0,5,3,0,79,131,201.0,500.0
49,2,0,27,11,1,79,131,51.0,200.0
34,0,0,11,4,1,79,131,51.0,200.0
53,0,0,45,4,2,79,131,1.0,50.0
49,0,0,9,11,1,79,131,51.0,200.0
